"","Data","Measure_Code","Measure_ItemName_ENG","Measure_SortOrder","Measure_Hierarchy","Measure_ItemNotes_ENG","Period_Code","Period_ItemName_ENG","Period_SortOrder","Period_Hierarchy","Period_ItemNotes_ENG","Transactionvalue_Code","Transactionvalue_ItemName_ENG","Transactionvalue_SortOrder","Transactionvalue_Hierarchy","Transactionvalue_ItemNotes_ENG","PartitionKey"
"150",381,"V","Property value taxed (£ million)","103","0","","201920Q1","April to June 2019-20","210","201920","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"151",530,"C","Number of transactions","101","0","","201920May","May 2019-20","212","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"152",7.7,"D","Tax due (£ million)","102","0","","201920May","May 2019-20","212","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"153",126,"V","Property value taxed (£ million)","103","0","","201920May","May 2019-20","212","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"154",470,"C","Number of transactions","101","0","","201920Nov","November 2019-20","232","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"155",6.4,"D","Tax due (£ million)","102","0","","201920Nov","November 2019-20","232","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"156",235,"V","Property value taxed (£ million)","103","0","","201920Nov","November 2019-20","232","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"157",460,"C","Number of transactions","101","0","","201920Jun","June 2019-20","213","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"158",3.5,"D","Tax due (£ million)","102","0","","201920Jun","June 2019-20","213","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"159",121,"V","Property value taxed (£ million)","103","0","","201920Jun","June 2019-20","213","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"160",570,"C","Number of transactions","101","0","","201920Mar","March 2019-20","243","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"161",5.5,"D","Tax due (£ million)","102","0","","201920Mar","March 2019-20","243","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"162",148,"V","Property value taxed (£ million)","103","0","","201920Mar","March 2019-20","243","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"163",540,"C","Number of transactions","101","0","","201920Jan","January 2019-20","241","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"164",7.7,"D","Tax due (£ million)","102","0","","201920Jan","January 2019-20","241","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"165",190,"V","Property value taxed (£ million)","103","0","","201920Jan","January 2019-20","241","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"166",590,"C","Number of transactions","101","0","","201920Jul","July 2019-20","221","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"167",5,"D","Tax due (£ million)","102","0","","201920Jul","July 2019-20","221","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"168",194,"V","Property value taxed (£ million)","103","0","","201920Jul","July 2019-20","221","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"169",520,"C","Number of transactions","101","0","","201920Dec","December 2019-20","233","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"170",9.4,"D","Tax due (£ million)","102","0","","201920Dec","December 2019-20","233","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"171",236,"V","Property value taxed (£ million)","103","0","","201920Dec","December 2019-20","233","201920Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"172",440,"C","Number of transactions","101","0","","201920Feb","February 2019-20","242","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"173",4,"D","Tax due (£ million)","102","0","","201920Feb","February 2019-20","242","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"174",128,"V","Property value taxed (£ million)","103","0","","201920Feb","February 2019-20","242","201920Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"175",540,"C","Number of transactions","101","0","","201920Apr","April 2019-20","211","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"176",2.9,"D","Tax due (£ million)","102","0","","201920Apr","April 2019-20","211","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"177",134,"V","Property value taxed (£ million)","103","0","","201920Apr","April 2019-20","211","201920Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"178",480,"C","Number of transactions","101","0","","201920Aug","August 2019-20","222","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"179",3.7,"D","Tax due (£ million)","102","0","","201920Aug","August 2019-20","222","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"180",177,"V","Property value taxed (£ million)","103","0","","201920Aug","August 2019-20","222","201920Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"181",470,"C","Number of transactions","101","0","","201819Sep","September 2018-19","123","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"182",5.9,"D","Tax due (£ million)","102","0","","201819Sep","September 2018-19","123","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"183",170,"V","Property value taxed (£ million)","103","0","","201819Sep","September 2018-19","123","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"184",6170,"C","Number of transactions","101","0","","201920","2019-20","200","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"185",68.7,"D","Tax due (£ million)","102","0","","201920","2019-20","200","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"186",2112,"V","Property value taxed (£ million)","103","0","","201920","2019-20","200","","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"187",1700,"C","Number of transactions","101","0","","201819Q3","October to December 2018-19","130","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"188",19.6,"D","Tax due (£ million)","102","0","","201819Q3","October to December 2018-19","130","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"189",660,"V","Property value taxed (£ million)","103","0","","201819Q3","October to December 2018-19","130","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"190",1570,"C","Number of transactions","101","0","","201819Q4","January to March 2018-19","140","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"191",20.3,"D","Tax due (£ million)","102","0","","201819Q4","January to March 2018-19","140","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"192",746,"V","Property value taxed (£ million)","103","0","","201819Q4","January to March 2018-19","140","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"193",1430,"C","Number of transactions","101","0","","201819Q1","April to June 2018-19","110","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"194",15.6,"D","Tax due (£ million)","102","0","","201819Q1","April to June 2018-19","110","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"195",524,"V","Property value taxed (£ million)","103","0","","201819Q1","April to June 2018-19","110","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"196",1490,"C","Number of transactions","101","0","","201819Q2","July to September 2018-19","120","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"197",17.7,"D","Tax due (£ million)","102","0","","201819Q2","July to September 2018-19","120","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"198",692,"V","Property value taxed (£ million)","103","0","","201819Q2","July to September 2018-19","120","201819","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"199",560,"C","Number of transactions","101","0","","201819Nov","November 2018-19","132","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"200",5.6,"D","Tax due (£ million)","102","0","","201819Nov","November 2018-19","132","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"201",177,"V","Property value taxed (£ million)","103","0","","201819Nov","November 2018-19","132","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"202",610,"C","Number of transactions","101","0","","201819Oct","October 2018-19","131","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"203",6.6,"D","Tax due (£ million)","102","0","","201819Oct","October 2018-19","131","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"204",221,"V","Property value taxed (£ million)","103","0","","201819Oct","October 2018-19","131","201819Q3","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"205",670,"C","Number of transactions","101","0","","201819Mar","March 2018-19","143","201819Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"206",8.1,"D","Tax due (£ million)","102","0","","201819Mar","March 2018-19","143","201819Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"207",375,"V","Property value taxed (£ million)","103","0","","201819Mar","March 2018-19","143","201819Q4","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"208",460,"C","Number of transactions","101","0","","201819May","May 2018-19","112","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"209",3.6,"D","Tax due (£ million)","102","0","","201819May","May 2018-19","112","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"210",125,"V","Property value taxed (£ million)","103","0","","201819May","May 2018-19","112","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"211",490,"C","Number of transactions","101","0","","201819Jul","July 2018-19","121","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"212",8,"D","Tax due (£ million)","102","0","","201819Jul","July 2018-19","121","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"213",332,"V","Property value taxed (£ million)","103","0","","201819Jul","July 2018-19","121","201819Q2","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
"214",480,"C","Number of transactions","101","0","","201819Jun","June 2018-19","113","201819Q1","","B99","Non-residential total","200","Tot","Counts include non-residential transactions with a purchase element and a rental element although to avoid double counting, only those with a rental element without a purchase element are added to those with a purchase element in the totals.  Tax due includes tax related to both the purchase and rental elements of all non-residential transactions.  The value statistics for the separate purchase and rental elements of non-residential transactions should not be summed together and the totals presented here only include the purchase elements.",""
